Name,C,254	Shape_Leng,N,19,11	Shape_Area,N,19,11	X_Cent,N,19,11	Y_Cent,N,19,11
35SLE4	2,07154654753	0,2636460131	25,5358862434	39,9656832088
35SMC1	2,04980283045	0,2587724271	26,1380114325	38,6201227152
35SMC2	2,04274876164	0,2571875781	26,1433509875	38,1695620692
35SMC3	2,04996776277	0,2588146681	26,7123588767	38,6229348471
35SMC4	2,042927055	0,25723210715	26,7141439049	38,1723279534
35SMD1	2,06435105055	0,26203981635	26,1269644879	39,5211372922
35SMD3	2,06452933004	0,2620853315	26,7086606018	39,5240425824
35SMD4	2,05715856664	0,2604295422	26,7105300943	39,0735070218
35SME2	2,07189560695	0,2637349907	26,1212518814	39,9715897042
35SME4	2,07206010747	0,2637769008	26,7067500329	39,9745405974
35SNA1	2,02272511564	0,2526915786	27,2807285172	36,8203077105
35SNA3	2,02256801355	0,2526527529	27,8413242966	36,8176674045
35SNA4	2,01614473053	0,25120907185	27,8364374606	36,3669694514
35SNB1	2,03604641381	0,2556859686	27,284109295	37,7216901054
35SNB2	2,02931570887	0,2541733836	27,2823997905	37,2710143843
35SNB3	2,03586498872	0,2556408717	27,851425699	37,7189660513
35SNB4	2,02915143133	0,2541328332	27,8463193755	37,2683344141
35SNC1	2,04996776277	0,2588146681	27,2876411233	38,6229348471
35SNC2	2,042927055	0,25723210715	27,2858560951	38,1723279534
35SNC3	2,04980283045	0,2587724271	27,8619885675	38,6201227152
35SNC4	2,04274876164	0,2571875781	27,8566490125	38,1695620692
35SND1	2,06452933004	0,2620853315	27,2913393982	39,5240425824
35SND2	2,05715856664	0,2604295422	27,2894699057	39,0735070218
35SND3	2,06435105055	0,26203981635	27,8730355121	39,5211372922
35SND4	2,05701697856	0,26039371645	27,8674509619	39,070646725
35SNE2	2,07206010747	0,2637769008	27,2932499671	39,9745405974
35SNE4	2,07189560695	0,2637349907	27,8787481186	39,9715897042
35SPA1	2,02225361416	0,252574457	28,4018120701	36,8123865572
35SPA3	2,02178162061	0,25245725545	28,9621145901	36,8044672099
